,Seq. No.,2017 NAPCS Code,Title
5,6,11101010101,"Beef and veal, fresh and frozen whole carcass and half carcass"
6,7,11101010102,"Pork, fresh and frozen whole carcass and half carcass, not canned or made into sausage"
7,8,11101010103,"Other meat, fresh and frozen whole carcass and half carcass"
9,10,11101010201,"Beef and veal, fresh and frozen cuts"
10,11,11101010202,"Pork, fresh and frozen cuts"
11,12,11101010203,Poultry and fowl
12,13,11101010204,"Other meat, fresh and frozen cuts"
14,15,11101010301,Processed poultry
15,16,11101010302,Other processed meat
18,19,11101020101,Prepared and processed fish and other seafood products 
21,22,11101030101,Dry milk products and mixtures
22,23,11101030102,Fluid milk
23,24,11101030103,"Yogurt, except frozen"
24,25,11101030104,Creamery butter
25,26,11101030105,"Cheese, including cottage cheese"
26,27,11101030106,Ice cream and related products
27,28,11101030107,Other dairy products
28,29,11101030108,Dairy product substitutes
31,32,11101040101,"Breads, cakes, pies, pastries, and tortillas"
34,35,11101050101,Crackers and cookies
37,38,11101060101,Baking mixes and prepared dough
40,41,11101070101,"Table salt, pepper, and other spices"
43,44,11101080101,Sugar products
46,47,11101090101,"Flour and other milled grain and oilseed products, except oils and products for animal feed"
49,50,11101100101,Crude and partially refined vegetable oils
50,51,11101100102,Fully refined fats and oils
51,52,11101100103,"Margarine, butter blends, and butter substitutes"
52,53,11101100104,Lard
55,56,11101110101,Chocolate and cocoa for food manufacturing and household baking
56,57,11101110102,Chocolate candy and chocolate-type confectionery products
57,58,11101110103,Nonchocolate-type confectionery products
60,61,11101120101,Asparagus
61,62,11101120102,Cabbages
62,63,11101120103,Cauliflowers and broccoli
63,64,11101120104,Lettuce and chicory
64,65,11101120105,Spinach
65,66,11101120106,Artichokes
66,67,11101120107,Other leafy or stem vegetables
68,69,11101120201,Melons
70,71,11101120301,Chilies and peppers
71,72,11101120302,Cucumbers and gherkins
72,73,11101120303,Eggplants (aubergines)
73,74,11101120304,Tomatoes
74,75,11101120305,"Pumpkins, squash and gourds"
75,76,11101120306,Other fruit-bearing vegetables
77,78,11101120401,Green leguminous vegetables
79,80,11101120501,Carrots and turnips
80,81,11101120502,Green garlic
81,82,11101120503,Onions
82,83,11101120504,"Other root, bulb and tuberous vegetables "
84,85,11101120601,Mushrooms and truffles
86,87,11101120701,"Vegetables, fresh, nec."
89,90,11101130101,Avocados
90,91,11101130102,Tropical and subtropical fruits
91,92,11101130103,Citrus fruits
92,93,11101130104,Grapes
93,94,11101130105,Berries and the fruits of the genus vaccinium
94,95,11101130106,Pome fruits and stone fruits
95,96,11101130107,"Nuts (excluding wild edible nuts and groundnuts), in shell"
96,97,11101130108,"Coconuts, in shell"
97,98,11101130109,Other oleaginous fruits
98,99,11101130110,"Other fruits, nec."
101,102,11101140101,Potatoes
102,103,11101140102,Other edible roots and tubers with high starch or inulin content
105,106,11101150101,Frozen fruits
106,107,11101150102,Frozen vegetables
107,108,11101150103,"Canned fruits and vegetables, except juices and nectars"
108,109,11101150104,"Dried and dehydrated fruits and vegetables, including freeze-dried"
111,112,11101160101,"Soup mixes (including oriental, dried and dehydrated, and freeze-dried) and bouillon"
114,115,11101170101,"Rice, processed, without other ingredients"
117,118,11101180101,Dry pasta without other ingredients
120,121,11101190101,"Snack foods, except cakes and pastries, frozen goods, and dried fruits"
123,124,11101200101,"Mayonnaise, dressing, and other prepared sauces, except meat-based sauces"
126,127,11101210101,Frozen prepared foods
129,130,11101220101,"Breakfast cereal, except infant cereal"
132,133,11101230101,"Flavoring extracts, emulsions, and other liquid flavorings and food colorings for food manufacturing"
135,136,11101240101,"Perishable prepared foods, including salads and sandwiches, vegetables and potatoes peeled and cut, fresh fruits cut and packaged, Mexican specialties, pizza, and tofu (not frozen or canned), and fresh macaroni products"
138,139,11101250101,Other food products
141,142,11101260101,"Soft drinks, bottled water, and ice"
142,143,11101260102,"Coffee and tea, except canned or bottled"
143,144,11101260103,"Flavoring powders, tablets, and paste, including dry mix cocktails"
144,145,11101260104,"Canned and fresh fruit and vegetable juices, nectars and concentrates"
145,146,11101260105,Frozen fruit and vegetable juices and other frozen beverages
146,147,11101260106,"Beer, ale, and malt beverages"
147,148,11101260107,"Alcoholic beverages, except beer"
151,152,11102010101,Wholesaling services for packaged frozen food
152,153,11102010102,"Wholesaling services for dairy products, except dried, canned, condensed, and evaporated dairy products"
153,154,11102010103,"Wholesaling services for eggs and poultry, except canned and frozen poultry products"
154,155,11102010104,"Wholesaling services for cookies, confectionery, snack foods, bread, and baked goods"
155,156,11102010105,"Wholesaling services for fish and seafood, except canned and frozen fish and seafood"
156,157,11102010106,"Wholesaling services for meat and meat products, except canned and frozen"
157,158,11102010107,Wholesaling services for fresh fruits and vegetables
158,159,11102010108,Wholesaling services for food dry goods and other foods
159,160,11102010109,"Wholesaling services for soft drinks, bottled water, and nonalcoholic beverages"
160,161,11102010110,Wholesaling services for alcoholic beverages
161,162,11102010111,Wholesaling services for ice
165,166,11103010101,Retailing services for fresh meat and poultry
166,167,11103010102,Retailing services for fresh fish and seafood
167,168,11103010103,Retailing services for fresh fruit and vegetables
168,169,11103010104,"Retailing services for eggs and dairy, except ice cream"
169,170,11103010105,Retailing services for baked goods
170,171,11103010106,Retailing services for perishable prepared foods
171,172,11103010107,Retailing services for frozen foods
172,173,11103010108,"Retailing services for candy, prepackaged cookies, and snack foods"
173,174,11103010109,Retailing services for food dry goods and other foods purchased for future consumption
174,175,11103010110,Retailing services for soft drinks and nonalcoholic beverages
175,176,11103010111,"Retailing services for ice
"
176,177,11103010112,Retailing services for alcoholic beverages
181,182,11201010101,"Meals, snacks, other food items, and nonalcoholic beverages, prepared and served or dispensed for immediate consumption"
182,183,11201010102,"Alcoholic beverages, prepared and served or dispensed for immediate consumption"
183,184,11201010103,"Meals, snacks, other food items, and beverages for immediate consumption, prepared under long-term contract"
184,185,11201010104,"Meals, snacks, other food items, and beverages prepared for catered events"
189,190,11301010101,"Cigarettes, including nontobacco"
190,191,11301010102,Other tobacco products and smoking accessories
194,195,11302010101,Wholesaling services for tobacco products and smoking accessories
198,199,11303010101,Retailing services for tobacco products and smoking accessories
204,205,14101010101,"Clothing, costumes, vestments, and fur apparel"
205,206,14101010102,Footwear and shoe accessories
206,207,14101010103,"Clothing accessories and personal accessories, except shoes, handbags, and jewelry"
210,211,14102010101,"Leather and leather-like personal goods, including women's and children's handbags and purses"
211,212,14102010102,"Watches, fine jewelry, and costume jewelry"
216,217,14201010101,Wholesaling services for clothing
217,218,14201010102,Wholesaling services for footwear and footwear accessories
218,219,14201010103,"Wholesaling services for clothing accessories, including costume jewelry"
219,220,14201010104,"Wholesaling services for jewelry, except costume"
220,221,14201010105,Wholesaling services for watches and watch parts
225,226,14301010101,Retailing services for men's clothing
226,227,14301010102,Retailing services for women's clothing
227,228,14301010103,"Retailing services for children's wear, including boys', girls' , and infants' and toddlers' clothing and accessories retailing services"
228,229,14301010104,"Retailing services for costumes, vestments, and unisex clothing"
229,230,14301010105,"Retailing services for men's and women's accessories, except costume jewelry"
